,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
224,399001.SZ,20200107,10829.0454,10725.1779,10829.0454,10723.8575,10698.2738,130.7716,1.2224,414499627.0,444165761.1
225,399001.SZ,20200106,10698.2738,10599.411,10799.5799,10577.7822,10656.4066,41.8672,0.3929,438998251.0,472875865.4
226,399001.SZ,20200103,10656.4066,10666.6552,10689.5912,10594.3571,10638.8247,17.5819,0.1653,373603938.0,405390005.6
227,399001.SZ,20200102,10638.8247,10509.1241,10663.5548,10479.7733,10430.7662,208.0585,1.9947,392795173.0,424335172.8
228,399001.SZ,20191231,10430.7662,10360.7838,10433.2933,10352.8889,10365.9572,64.809,0.6252,282427717.0,305890410.3
229,399001.SZ,20191230,10365.9572,10203.8154,10365.9572,10133.881,10233.772,132.1852,1.2917,322844925.0,343640782.7
230,399001.SZ,20191227,10233.772,10326.5205,10377.944,10226.6193,10303.7153,-69.9433,-0.6788,351676420.0,373901862.6
231,399001.SZ,20191226,10303.7153,10239.7583,10303.7153,10221.3366,10229.5781,74.1372,0.7247,292929051.0,308016593.9
232,399001.SZ,20191225,10229.5781,10176.7216,10255.2039,10170.2098,10189.2859,40.2922,0.3954,290734473.0,313586440.0
233,399001.SZ,20191224,10189.2859,10080.3678,10190.0405,10065.5548,10056.2081,133.0778,1.3233,264154341.0,274945995.8
234,399001.SZ,20191223,10056.2081,10202.2294,10248.8037,10050.4082,10229.4868,-173.2787,-1.6939,308439136.0,318724069.5
235,399001.SZ,20191220,10229.4868,10305.0975,10343.0699,10229.0971,10296.291,-66.8042,-0.6488,345290001.0,347274849.0
236,399001.SZ,20191219,10296.291,10298.5051,10316.7731,10254.9453,10294.6601,1.6309,0.0158,347586101.0,357645053.4
237,399001.SZ,20191218,10294.6601,10299.0501,10365.163,10266.6389,10306.0316,-11.3715,-0.1103,379783107.0,408794296.4
238,399001.SZ,20191217,10306.0316,10157.4256,10350.6504,10148.6853,10158.2412,147.7904,1.4549,424807270.0,449507139.4
239,399001.SZ,20191216,10158.2412,10040.2614,10158.2412,10015.451,10004.6244,153.6168,1.5355,352271899.0,384940279.3
240,399001.SZ,20191213,10004.6244,9923.7871,10014.2074,9907.7577,9836.2347,168.3897,1.7119,294009384.0,331554384.1
241,399001.SZ,20191212,9836.2347,9862.4328,9887.5638,9824.4146,9852.7134,-16.4787,-0.1673,256204338.0,282826105.667
242,399001.SZ,20191211,9852.7134,9905.9121,9921.653,9829.1115,9915.8658,-63.1524,-0.6369,269475437.0,290861073.7
243,399001.SZ,20191210,9915.8658,9850.0361,9915.8658,9826.8345,9876.2684,39.5974,0.4009,259022858.0,285979664.4
244,399001.SZ,20191209,9876.2684,9908.9681,9917.6059,9853.1974,9878.6229,-2.3545,-0.0238,254862722.0,286297284.7
245,399001.SZ,20191206,9878.6229,9804.0406,9878.6229,9791.5621,9799.0695,79.5534,0.8118,228380357.0,260325644.9
246,399001.SZ,20191205,9799.0695,9719.3013,9817.2063,9703.9101,9687.9508,111.1187,1.147,229525019.0,264063459.1
247,399001.SZ,20191204,9687.9508,9624.1851,9703.3957,9614.0377,9657.6534,30.2974,0.3137,202086392.0,219796468.9
248,399001.SZ,20191203,9657.6534,9585.7536,9657.6534,9531.2551,9605.1887,52.4647,0.5462,193114391.0,211789702.0
249,399001.SZ,20191202,9605.1887,9603.0167,9647.9538,9582.3242,9582.1558,23.0329,0.2404,185451453.0,203141903.8
250,399001.SZ,20191129,9582.1558,9614.7121,9633.1383,9490.8466,9622.1438,-39.988,-0.4156,184566861.0,201184337.6
